,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
1802,영국발 변이 감염 4명 추가 총 9명 남아공발도 첫 확인종합2보,새해에도 이어지는 포항·구미 연쇄감염 … 경북 곳곳 24명 신규 확진,0.7001645988532943,394
2320,영국발 변이 감염 4명 추가 총 9명 남아공발도 첫 확인종합,새해에도 이어지는 포항·구미 연쇄감염 … 경북 곳곳 24명 신규 확진,0.7001645988532943,394
5156,12월 코로나19 사망자 391명 1년간 917명 숨져…위중증 354명 최다,2020년 마지막날 서울 확진자 359명 추가,0.7001641885102323,228
4867,2020년 마지막날 서울 확진자 359명 추가,12월 코로나19 사망자 391명 1년간 917명 숨져…위중증 354명 최다,0.7001641885102323,350
5438,신규확진 1029명 이틀만에 1000명대…사망자 17명 늘어 총 917명,오후 6시 기준 640명 코로나19 확진…내일도 1000명대 예상,0.700164109497984,416
8733,코로나 백신 상용화 긍정적...국가간 경기회복 불균형이 문제,속보 모더나 “5월부터 한국에 코로나 백신 공급한다”,0.7001630002231309,16
5805,속보 모더나 “5월부터 한국에 코로나 백신 공급한다”,코로나 백신 상용화 긍정적...국가간 경기회복 불균형이 문제,0.7001630002231309,68
3489,제주 누적 확진 430명…새해 첫날부터 9명 늘어,수도권 임시검사소 ‘익명 검사’서 하루 만에 91명 확진,0.7001625482479512,417
8434,파죽지세 비트코인 4000만원 넘어서나,서울 아파트값 도봉 빼고 3.3㎡당 2000만원 넘어,0.7001622131211487,46
7948,서울 아파트값 도봉 빼고 3.3㎡당 2000만원 넘어,파죽지세 비트코인 4000만원 넘어서나,0.7001622131211487,37
7260,서울동부구치소 등 전국 교정시설서  2일 신규 확진 없어…누적 982명,신축년 첫날 광주·전남 코로나19 신규 확진 17명종합,0.7001618892891257,418
3475,신축년 첫날 광주·전남 코로나19 신규 확진 17명종합,서울동부구치소 등 전국 교정시설서  2일 신규 확진 없어…누적 982명,0.7001618892891257,292
3414,김포서 확진자 접촉 등 8명 확진…누적 467명,속보 코로나 어제 1029명 신규확진…다시 1000명대로,0.7001616662126218,436
5450,속보 코로나19 어제 1029명 신규확진…다시 1000명대로,김포서 확진자 접촉 등 8명 확진…누적 467명,0.7001616662126218,418
5500,속보 코로나 어제 1029명 신규확진…다시 1000명대로,김포서 확진자 접촉 등 8명 확진…누적 467명,0.7001616662126218,418
3391,부천 확진자 접촉 등 22명 확진…가족간 전염 15명,속보 코로나 어제 1029명 신규확진…다시 1000명대로,0.7001616662126218,436
